Beiheft zur Zeitschrift für Mykologie;Beih. Z. Mykol.;;
Beihefte zum Botanischen Centralblatt;Beih. Bot. Cent.bl.;;
Beitrage zur Krystallographie und Mineralogie;Beitr. Kryst. Mineral.;;
Beiträge für Forstwirtschaft und Landschaftsökologie;Beitr. Forstwirtsch. Landsch.ökol.;;
Beiträge für die Forstwirtschaft;Beitr. Forstwirtsch.;;
Beiträge zum Naturschutz in der Schweiz;Beitr. Nat.schutz Schweiz;;
Beiträge zur Avifauna des Rheinlandes;Beitr. Avifauna Rheinl.;;
Beiträge zur Biologie der Pflanzen;Beitr. Biol. Pflanzen;;
Beiträge zur Geologie der Schweiz: Hydrologie;Beitr. Geol. Schweiz: Hydrol.;;
Beiträge zur Hydrologie der Schweiz;Beitr. Hydrol. Schweiz;;
Beiträge zur Jagd- und Wildforschung;Beitr. Jagd- Wildforsch.;;
Beiträge zur Kryptogamenflora der Schweiz;Beitr. Kryptogamenflora Schweiz;;
Beiträge zur geobotanischen Landesaufnahme der Schweiz;Beitr. geobot. Landesaufn. Schweiz;;
Beiträge zur naturkundlichen Forschung in Südwestdeutschland;Beitr. nat.kdl. Forsch. Südwestdtschl.;;
Berichte Eidg. Anstalt für das forstliche Versuchswesen;Ber. Eidgenöss. Anst. forstl. Vers.wes.;;
Berichte Freiburger Forstliche Forschung;Ber. Freibg. Forstl. Forsch.;;
Berichte aus der Bayerischen Landesanstalt für Wald und Forstwirtschaft;Ber. Bayer. Landesanst. Wald Forstwirtsch.;;
Berichte der Akademie für Naturschutz und Landschaftspflege;Ber. Akad. Nat.schutz Landsch.pfl.;;
Berichte der Botanisch-Zoologischen Gesellschaft Liechtenstein- Sargans-Werdenberg;Ber. Bot.-Zool. Ges. Liecht.-Sargans-Werdenberg;;
Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics;Ber. Bunsen-Ges. Phys. Chem;;
Berichte der Bunsen-Gesellschaft für Physikalische Chemie;Ber. Bunsen-Ges. Phys. Chem.;;
Berichte der Deutschen Botanischen Gesellschaft;Ber. Dtsch. Bot. Ges.;;
Berichte der Deutschen botanischen Gesellschaft;Ber. Dtsch. bot. Ges.;;
Berichte der Eidg. Forschungsanstalt für Wald, Schnee und Landschaft;Ber. Eidgenöss. Forsch.anst. Wald Schnee Landsch.;;
Berichte der Sankt Gallischen Naturwissenschaftlichen Gesellschaft;Ber. St. Gallen Nat.wiss. Ges.;;
Berichte der Schweizerischen botanischen Gesellschaft;Ber. Schweiz. bot. Ges.;;
Berichte der Schwyzerischen Naturforschenden Gesellschaft;Ber. Schwyzerische Nat.forsch. Ges.;;
Berichte der Versuchsanstalt für Wasserbau, Hydrologie und Glaziologie an der Eidg. Technischen Hochschule Zürich;Ber. Vers.anst. Wasserbau Hydrol. Glaziol. Eidgenöss. Tech. Hochsch. Zür.;;
Berichte des Bundesamtes für Wasser und Geologie;Ber. Bundesamt Wasser Geol.;;
Berichte des Deutschen Wetterdienstes;Ber. Dtsch. Wetterd.;;
Berichte des Forschungszentrums Waldökosysteme;Ber. Forsch.zent. Waldökosyst.;;
Berichte des Geobotanischen Institutes der Eidg. Technischen Hochschule, Stiftung Rübel;Ber. Geobot. Inst. Eidgenöss. Tech. Hochsch., Stift. Rübel;;
Berliner Beitraege zur Archaeometrie;Berl. Beitr. Archaeom.;;
Berliner Geowissenschaftliche Abhandlungen, Reihe A: Geologie und Palaeontologie;Berl. Geowiss. Abh., Reihe A;;
Berner Wald;Bern. Wald;;
Berner Zeitschrift für Geschichte und Heimatkunde;Bern. Z. Gesch. Heim.kd.;;
Berner Zeitung;Bern. Ztg.;;
Bi-monthly Research Notes;Bi-mon. Res. Notes;;
Bibliographia Scientiae Naturalis Helvetica;Bibliogr. Sci. Nat. Helv.;;
Bibliotheca Botanica;Bibl. Bot.;;
Bibliotheca Mycologica;Bibl. Mycol.;;
Big Data;Big Data;;
Big Data Research;Big Data Res.;;
Bilanz;Bilanz;;
Bild der Wissenschaft;Bild Wiss.;;
Bildmessung und Luftbildwesen;Bildmess. Luftbildwes.;;
BioChemistry (Rajkot, India);BioChemistry (Rajkot, India);;
BioEssays;BioEssays;;
BioScience;BioScience;;
BioTechnology (Rajkot, India);BioTechnology (Rajkot, India);;
Biochemistry (Moscow);Biochemistry (Moscow);;
Biochimica et Biophysica Acta, Biophysics Including Photosynthesis;Biochim. Biophys. Acta, Biophys. Incl. Photosynth.;;
Biochimica et Biophysica Acta, Mucoproteins and Mucopolysaccharides;Biochim. Biophys. Acta, Mucoproteins Mucopolysaccharides;;
Biochimica et Biophysica Acta, Specialized Section on Biophysical Subjects;Biochim. Biophys. Acta, Spec. Sect. Biophys. Subj.;;
Biochimica et Biophysica Acta, Specialized Section on Enzymological Subjects;Biochim. Biophys. Acta, Spec. Sect. Enzymol. Subj.;;
Biochimica et Biophysica Acta, Specialized Section on Lipids and Related Subjects;Biochim. Biophys. Acta, Spec. Sect. Lipids Relat. Subj.;;
Biodiversity Data Journal;Biodivers. Data J.;;
Biodiversity Letters;Biodivers. Lett.;;
Bioenergy Research;Bioenergy Res.;;
Biogeosciences Discussions;Biogeosci. Discuss.;;
Biokhimiya (Moscow);Biokhimiya (Moscow);;
Biologia Gallo-hellenica;Biol. Gallo-hellenica;;
Biological Systems: Open Access;Biol. Syst. Open Access;;
Biological Wastes;Biol. Wastes;;
Biologicheskie Nauki (Moscow);Biol. Nauki (Moscow);;
Biologische Rundschau;Biol. Rundsch.;;
Biologisches Zentralblatt;Biol. Zent.bl.;;
Biomarker Research;Biomarker Res.;;
Biomass Conversion and Biorefinery;Biomass Convers. Biorefin.;;
Biomed Research International;Biomed Res. Int.;;
Biomedical Engineering Letters;Biomed. Eng. Lett.;;
Biomedical Optics Express;Biomed. Opt. Express;;
Biomedizinisch Technik;Biomed. Tech.;;
Biometric Technology Today;Biom. Technol. Today;;
Biometrie und Informatik in der Biologie und Medizin;Biom. Inform. Biol. Med.;;
Biomolecular Detection and Quantification;Biomol. Detect. Quantif.;;
Bioresearch Open Access;Biores. Open Access;;
Biotechnology Reports;Biotechnol. Rep,;;
Biotekhnologiya;Biotekhnologiya;;
Bird Study;Bird Stud.;;
Blaue, Die;Blaue;;
Blätter der Vereinigung Pro Sihltal;Bl. Ver. Pro Sihltal;;
Bodenkultur, Die;Bodenkultur;;
Bois et Forêts des Tropiques;Bois For. Trop.;;
Boletin de la Sociedad Quimica del Peru;Bol. Soc. Quim. Peru;;
Bolletino della Società Italiana della Scienza del Suolo;Boll. Soc. Italiana Sci. Suolo;;
Bolletino della Società ticinese di Scienze naturali;Boll. Soc. ticin. Sci. nat.;;
Bollettino - Societa Italiana di Biologia Sperimentale;Boll.-Soc. Ital. Biol. Sper.;;
Bonner Zoologische Beiträge;Bonn. Zool. Beitr.;;
Boreas (Oslo);Boreas (Oslo);;
Botanical Journal of the Linnean Society;Bot. J. Linn. Soc.;;
Botanical Magazine Tokyo;Bot. Mag. Tokyo;;
Botanical Museum Leaflets, Harvard University;Bot. Mus. Leafl. Harv. Univ.;;
Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie;Bot. Jahrb. Syst. Pflanzengesch. Pflanzengeogr.;;
Botanische Zeitung;Bot. Ztg.;;
Botanisches Centralblatt;Bot. Cent.bl.;;
Boundary-Layer Meteorology;Boundary-Layer Meteorol.;;
Brain Connectivity;Brain Connect.;;
Brenesia;Brenesia;;
British Archaeological Reports, British Series;Br. Archaeol. Rep., Br. Ser.;;
British Journal of Medical Practitioners;Br. J. Med. Pract.;;
Bulletin Bodenkundliche Gesellschaft der Schweiz;Bull. Bodenkd. Ges. Schweiz;;
Bulletin Forestry Commission;Bull. For. Comm.;;
Bulletin Geological Society of America;Bull. Geol. Soc. Am.;;
Bulletin Geological Survey of Canada;Bull. Geol. Surv. Can.;;
Bulletin Mensuel de la Société Linnéenne de Lyon;Bull. Mens. Soc. Linn. Lyon;;
Bulletin Peabody Museum of Natural History, Yale University;Bull. Peabody Mus. Nat. Hist., Yale Univ.;;
Bulletin Suisse de Mycologie;Bull. Suisse Mycol.;;
Bulletin angewandte Geologie;Bull. angew. Geol.;;
Bulletin de l'Association pour la Défense des Intérêts du Jura;Bull. Assoc. Déf. Intérêts Jura;;
Bulletin de la Murithienne;Bull. Murithienne;;
Bulletin de la Société Botanique de France;Bull. Soc. Bot. Fr.;;
Bulletin de la Société Géologique de France;Bull. Soc. Géol. Fr.;;
Bulletin de la Société Vaudoise des sciences naturelles;Bull. Soc. Vaud. sci. nat.;;
Bulletin de la Société entomologique de France;Bull. Soc. entomol. Fr.;;
Bulletin de la Société française de photogrammétrie et télédétection;Bull. Soc. fr. photogramm. télédétect.;;
Bulletin de la Société mycologique de France;Bull. Soc. mycol. Fr.;;
Bulletin de la Société royale forestière de Belgique;Bull. Soc. r. for. Belg.;;
Bulletin de la société entomologique Suisse;Bull. soc. entomol. Suisse;;
Bulletin de la société fribourgeoise des sciences naturelles;Bull. soc. fribg. sci. nat.;;
Bulletin de la société neuchâteloise des sciences naturelles;Bull. soc. neuchâtel. sci. nat.;;
